"Name","Fpts","Position","Team","Opponent","Minutes","Salary","Pts/$","Value"
"Patrick Beverley","23.68","PG/SG","LAL","DET","27.0","4,200","5.64","2.68"
"Cam Reddish","23.33","SG/SF","NYK","GSW","31.4","4,100","5.69","2.83"
,"23.32","C","MIA","WAS","27.6","3,500","6.66","5.82"
"Torrey Craig","23.00","SG/SF","PHX","UTA","28.1","4,700","4.89","-0.50"
"Eric Gordon","22.35","SF/SG","HOU","IND","29.7","4,400","5.08","0.35"
"Troy Brown Jr.","22.31","SF","LAL","DET","29.4","4,300","5.19","0.81"
"Tari Eason","22.24","SF","HOU","IND","20.3","4,900","4.54","-2.26"
"Tim Hardaway Jr.","22.03","SG/SF","DAL","DEN","26.8","4,900","4.50","-2.47"
"Deni Avdija","21.95","SF/PF","WAS","MIA","26.0","4,300","5.10","0.45"
"Jamal Cain","21.84","SF","MIA","WAS","31.9","3,500","6.24","4.34"
"Grant Williams","21.69","PF","BOS","NOP","30.8","4,800","4.52","-2.31"
"Brandon Clarke","21.57","PF/C","MEM","OKC","17.5","5,400","3.99","-5.43"
"Santi Aldama","21.55","PF","MEM","OKC","24.5","5,500","3.92","-5.95"
"Jalen Duren","21.38","C","DET","LAL","22.5","5,200","4.11","-4.62"
"Larry Nance Jr.","21.35","PF/C","NOP","BOS","22.5","4,900","4.36","-3.15"
"Trey Murphy III","21.01","SF","NOP","BOS","26.9","5,100","4.12","-4.49"
"Alec Burks","20.92","PG/SG","DET","LAL","21.1","4,300","4.86","-0.58"
"Collin Sexton","20.34","SG","UTA","PHX","23.0","5,000","4.07","-4.66"
"Dorian Finney-Smith","20.33","SF/PF","DAL","DEN","32.6","4,000","5.08","0.33"
"Malik Beasley","20.31","SF/SG","UTA","PHX","26.3","5,400","3.76","-6.69"
"Rui Hachimura","20.28","SF/PF","WAS","MIA","23.4","4,800","4.22","-3.72"
"Haywood Highsmith","20.13","SF","MIA","WAS","30.2","3,500","5.75","2.63"
"Jevon Carter","20.01","PG/SG","MIL","PHI","28.4","5,900","3.39","-9.49"
"Ayo Dosunmu","19.98","PG/SG","CHI","ORL","27.1","4,700","4.25","-3.52"
